"NUTS3","funding_by_region","population","funding_per_capita_germany_aaw","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE256",60746466.83,181314,335.034618562273,29675,5.81423386547782,10.2980602194779,"DE2"
"DE257",2192625.69,134136,16.3462880211129,37775,2.79400083921968,10.5394027871409,"DE2"
"DE258",331810.06,114291,2.90320375182648,22212,1.06581486922316,10.0083879623615,"DE2"
"DE259",8267255.02,167643,49.3146449300001,30598,3.89822109433948,10.3286899263273,"DE2"
"DE25A",883333.29,98751,8.9450566576541,27674,2.19110105094332,10.2282486232293,"DE2"
"DE25B",7510491.53,125140,60.0167135208566,27580,4.09462308211278,10.2248461513473,"DE2"
"DE25C",11040255.75,93342,118.277471556213,30332,4.77303331799059,10.3199585398208,"DE2"
"DE261",17029168.16,68986,246.849623981677,75781,5.50877934143726,11.2356028805795,"DE2"
"DE262",15924317.88,51969,306.419555504243,98156,5.72495525927707,11.4943133287582,"DE2"
"DE263",95374404.43,124873,763.771227006639,61270,6.6382683032343,11.0230456057197,"DE2"
"DE264",34474690.82,173695,198.478314401681,30780,5.29067984681262,10.3346204073929,"DE2"
"DE265",15037839.47,103106,145.848345101158,30941,4.98256734966834,10.3398374442253,"DE2"
"DE266",7051110.25,79723,88.445119350752,36474,4.48238223932926,10.5043549569768,"DE2"
"DE267",10684613.71,84581,126.32404097847,30228,4.83885035944894,10.3165239261406,"DE2"
"DE268",23937119.33,89306,268.034838980584,34588,5.59111696825829,10.4512620800803,"DE2"
"DE269",21585167.25,128446,168.048574887501,32773,5.12425307384656,10.3973602846495,"DE2"
"DE26A",46436678.2,126123,368.185645758506,34327,5.90858728313548,10.4436874955083,"DE2"
"DE26B",10135251.99,114813,88.2761707297954,21052,4.48047020402949,9.95475084647367,"DE2"
"DE26C",394244.75,160427,2.45747131093893,27666,0.899132898887189,10.2279595014348,"DE2"
"DE271",99720558.45,286374,348.217919399107,47522,5.85282848895968,10.768948040693,"DE2"
"DE272",10603910.18,42731,248.154973672509,36775,5.51405344484089,10.5125735454696,"DE2"
"DE273",50129543.91,66947,748.794477870554,53763,6.61846455049751,10.8923407772115,"DE2"
"DE274",3312853.98,42841,77.3290534768096,58819,4.34806973849443,10.9822202109434,"DE2"
"DE275",2195081.47,130916,16.7670985211892,25905,2.81941854483685,10.1621912792489,"DE2"
"DE276",11602006.86,245600,47.2394416123778,28647,3.85522917103021,10.2628040046183,"DE2"
"DE277",5306627.24,94575,56.1102536611155,33094,4.02731857053533,10.4071072760518,"DE2"
"DE278",18750866.64,123153,152.25667779104,42822,5.02556776632464,10.6648072681991,"DE2"
"DE279",14907801.87,170309,87.5338465377637,36872,4.47202553614338,10.5152077344003,"DE2"
"DE27A",16528206.57,80429,205.500585236668,36394,5.32544888179923,10.5021592048732,"DE2"
"DE27B",78854026.01,137709,572.613453078593,33862,6.35021088711137,10.4300487206882,"DE2"
"DE27C",15200432.68,140419,108.250540738789,36113,4.68444836214762,10.4944081903,"DE2"
"DE27D",38320223.82,131345,291.752436864746,47695,5.67590562371017,10.7725818495793,"DE2"
"DE27E",27256069.64,152672,178.526970498847,30417,5.1847396850376,10.3227569416207,"DE2"
"DE300",2029913200.43,3520030,576.674971642287,37551,6.35727880041184,10.5334552879961,"DE3"
"DE401",68185763.24,71574,952.661067426719,30543,6.85925919236572,10.3268908057753,"DE4"
"DE402",131864389.29,99687,1322.78420746938,33793,7.18749404232257,10.4280089594311,"DE4"
"DE403",134910910.94,58092,2322.36643496523,34951,7.75034195986968,10.4617023595559,"DE4"
"DE404",349041925.92,167745,2080.78885164983,40495,7.64050235639701,10.6089337886831,"DE4"
"DE405",96575802.33,177411,544.361974905727,21060,6.2996144206261,9.95513078568797,"DE4"
"DE406",74997134.23,164528,455.832042144802,32167,6.12212441303492,10.3786963612996,"DE4"
"DE407",52494548.42,104673,501.50992538668,22763,6.21762339860531,10.0328916897474,"DE4"
"DE408",37145652.38,158236,234.748428802548,19990,5.45851442499909,9.90298742749445,"DE4"
"DE409",62039464.28,190714,325.301049110186,20043,5.78475105852847,9.90563524459359,"DE4"
"DE40A",250188333.5,207524,1205.58746699177,25254,7.09472225159781,10.1367398379986,"DE4"
"DE40B",32369795.57,112450,287.859453712761,26210,5.66247235307952,10.1738962963175,"DE4"
"DE40C",73630746.71,182397,403.683978957987,23824,6.00063234155738,10.0784487549238,"DE4"
"DE40D",51117979.06,99110,515.770144889517,24940,6.24566121059625,10.124228219234,"DE4"
"DE40E",64677973.66,210910,306.661484329809,23815,5.72574448230765,10.078070913235,"DE4"
"DE40F",42490188.13,77573,547.744551970402,24696,6.30580903222876,10.114396566182,"DE4"
"DE40G",30652661.55,117635,260.574332044035,31391,5.56288816422974,10.354276506608,"DE4"
"DE40H",94333239.76,163553,576.774744333641,33237,6.35745179918278,10.4114189921888,"DE4"
"DE40I",72473390.3,121014,598.884346439255,28494,6.39506850174275,10.2574488177772,"DE4"
"DE501",194179329.73,557464,348.326223271817,48890,5.85313946386262,10.7973281555727,"DE5"
"DE502",99060142.33,114025,868.758099802675,34382,6.76706472034941,10.4452884506014,"DE5"
"DE600",336195856.01,1787410,188.091068087344,61449,5.23692625026377,11.0259628414688,"DE6"
"DE711",42870864.25,155353,275.957749448031,75662,5.62024777228892,11.2340313318847,"DE7"
"DE712",65634036.61,732688,89.5797892281571,92423,4.49512972788687,11.4341311444038,"DE7"
"DE713",45159019.08,123734,364.968554156497,36982,5.89981119687521,10.5181865867669,"DE7"
"DE714",48102015.64,276218,174.145115959134,61013,5.1598889513951,11.0188422352038,"DE7"
"DE715",27586500.59,266928,103.348096078343,27513,4.6381028638811,10.2224138992271,"DE7"
"DE716",6019423.37,292773,20.5600358298067,26852,3.02334918328032,10.1980955850586,"DE7"
"DE717",9522156.57,266042,35.7919297328993,44092,3.57772244153897,10.6940336390832,"DE7"
"DE718",6570889.65,233427,28.1496555668367,45157,3.33753511887449,10.7179005855876,"DE7"
"DE719",17617743.97,411956,42.7660817417394,33367,3.75574530573772,10.4153226665953,"DE7"
"DE71A",20545681.95,232848,88.2364544681509,53658,4.48002019358666,10.8903858515742,"DE7"
"DE71B",6561487.61,97000,67.6442021649485,26088,4.21426164754344,10.1692307174692,"DE7"
"DE71C",6685815.21,347357,19.2476766266406,40403,2.95739035872963,10.606659318618,"DE7"
"DE71D",36816717.04,184114,199.966960904657,23498,5.29815215742505,10.0646705901275,"DE7"
