"NUTS3_Code","Region"
"DE111|CH040|CH032|CH031|DEG03|CH021|DEB11|DEB18|DE137|DE138|DE136|FRF34|NL224|FRF11|FRF12|DEB35|CH022|CH025","Stuttgart|Canton of Zürich|Basel-Landschaft|Basel-Stadt|Jena|canton of Bern|Koblenz|Neuwied|Tuttlingen|Konstanz|Schwarzwald-Baar district|Vosges|Zuidwest-Gelderland|Bas-Rhin|Haut-Rhin|Mainz|canton of Fribourg|Canton of Jura"
"DE111|CH040|CH033|CH062|DE138","Stuttgart|Canton of Zürich|Canton Aargau|Uri|Konstanz"
"DE111|CH040|DE147|DE138|AT332","Stuttgart|Canton of Zürich|Bodenseekreis|Konstanz|Götzens"
"DE111|CH040|DE717|DE716|DE114|BE242|NL333|NL414|FRG01|NL126|NL213|NL323|FR101","Stuttgart|Canton of Zürich|Groß-Gerau|Darmstadt-Dieburg|Göppingen|Arrondissement of Leuven|Delft en Westland|Zuidoost-Noord-Brabant|Loire-Atlantique|Zuidoost-Friesland|Twente|IJmond|Paris"
"DE111|CH052|CH040|CH033|CH066|DE148|DE113|DE13A|DE139|AT312|AT342|DE254","Stuttgart|canton of Schaffhausen|Canton of Zürich|Canton Aargau|Canton of Zug|Landkreis Ravensburg|Esslingen|Waldshut|Lörrach|Linz-Wels|Rheintal-Bodenseegebiet|Nuremberg"
"DE111|CH055|CH040|CH054|DE273|DE148|DE147|DE141|DE138|DE142|DE136|AT342","Stuttgart|Canton of St. Gallen|Canton of Zürich|Appenzell Innerrhoden|Kempten|Landkreis Ravensburg|Bodenseekreis|Reutlingen|Konstanz|Tübingen|Schwarzwald-Baar district|Rheintal-Bodenseegebiet"
"DE111|CH055|CH057|CH052|CH040|CH053|CH054|AT342|LI000|DE212","Stuttgart|Canton of St. Gallen|Thurgau|canton of Schaffhausen|Canton of Zürich|Appenzell Ausserrhoden|Appenzell Innerrhoden|Rheintal-Bodenseegebiet|Liechtenstein|Munich"
"DE111|CH055|CH057|DE122|DE146|DE138|DE142|DE131","Stuttgart|Canton of St. Gallen|Thurgau|Karlsruhe|Biberach district|Konstanz|Tübingen|Freiburg im Breisgau"
"DE111|CH055|CH057|DE27A|DE147|DE138","Stuttgart|Canton of St. Gallen|Thurgau|Lindau|Bodenseekreis|Konstanz"
"DE111|CH057|DE138|AT342","Stuttgart|Thurgau|Konstanz|Rheintal-Bodenseegebiet"
"DE111|DE122|DE124|DE134|FRF11","Stuttgart|Karlsruhe|Rastatt district|Ortenau|Bas-Rhin"
"DE111|DE122|DE131|FRF11|FRF12|DE300","Stuttgart|Karlsruhe|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Berlin"
"DE111|DE122|DE132|DE136|DE133|FRF11|FRF12|DEB35","Stuttgart|Karlsruhe|Breisgau-Hochschwarzwald|Schwarzwald-Baar district|Emmendingen|Bas-Rhin|Haut-Rhin|Mainz"
"DE111|DE128|DE122|DE134|DE133|DE121|FRF11|FRF12|DEB35","Stuttgart|Rhein-Neckar|Karlsruhe|Ortenau|Emmendingen|Baden-Baden|Bas-Rhin|Haut-Rhin|Mainz"
"DE111|DE131","Stuttgart|Freiburg im Breisgau"
"DE111|DE131|DE115|FRF11|FRF12|DE300|FR101","Stuttgart|Freiburg im Breisgau|Ludwigsburg|Bas-Rhin|Haut-Rhin|Berlin|Paris"
"DE111|DE132|DE131|FRF11|FRF12|DE300","Stuttgart|Breisgau-Hochschwarzwald|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Berlin"
"DE111|DE134|DE121|FRF11","Stuttgart|Ortenau|Baden-Baden|Bas-Rhin"
