"NUTS3","years_2014_15","years_2016_17","years_2018_19","GDPpercap_2020","GDPpercap_2018"
"DE211",10.2822355835411,15.0289873448319,15.7199984677059,11.7447750089134,11.7552126029316
"DEA1D",11.2745869273596,14.1433369889929,15.1867964639825,10.566407457476,10.619594137231
"DE733",0,13.2903982160992,14.3408397776516,10.5593221982121,10.5083498182285
"DEB3D",0,14.0147126801458,14.5515660208319,10.163772734131,10.2754303473935
"DE228",16.5070002782502,17.0205179727595,16.80491369263,10.3147690459657,10.3341004541769
"DEB37",0,0,14.3467786875938,10.5439457283157,10.5322295364037
"DE222",15.4859974486988,16.228592461441,16.8766013205569,11.1168560785024,11.1253493896978
"DEB21",0,16.2181561060761,16.5245840264609,10.7020077486758,10.6928308839485
"DEA29",13.099094750465,14.8905893842178,15.3781190199728,10.1756878991372,10.162654403027
"DE914",0,13.1704788124079,13.6981780370609,9.96993050908484,9.95456082272013
"DEA1B",0,14.8961768591467,14.9254702676571,10.3596457749598,10.3300942603977
"DEA43",10.9388840448804,13.81754113661,14.4099521748392,10.4540337644971,10.4274169456791
"DE264",0,16.5321142669617,16.3572289938617,10.4355265727013,10.4309342773184
"DE142",0,12.4997259918875,13.001217217781,10.4341158035983,10.4337333775416
"DEA56",0,14.0126887672448,14.6480845319896,10.3197607093609,10.326563344904
"DE144",13.5605446002428,14.4559346225541,14.6154490062751,11.2824677301113,11.2575944094028
"DEA1C",0,13.5444529862108,16.3094140833864,10.6220831575497,10.618714178239
"DE126",11.3519005659118,15.645285221761,16.1744919298182,11.098984538381,11.1341801815614
"DEB3I",0,0,14.1009032668219,9.90807700486994,9.90378750754513
"DE145",12.893704645402,11.800607537422,13.5953832864344,10.4062910851992,10.3769539295448
"DE237",15.093651223722,15.3517590356446,13.4240833804255,10.3951915170945,10.3879178649426
"DE927",0,15.2529204617894,16.4341061823177,10.3618297002451,10.3292453639121
"DE232",13.7555036911313,14.686634965423,14.9885250261378,11.3755122621456,11.3775981749727
"DE234",14.8197663785671,15.3397271397739,15.1354888510458,10.2529817767056,10.2365969984522
"DEA55",0,12.7995279724249,14.9993173594011,10.1887040880481,10.1183972989232
"DE21M",0,13.3610141163577,10.0768384373433,10.6497725752589,10.6205709621395
"DE123",12.7159031943733,14.7904488482779,15.349363262849,10.522045876105,10.5479695611148
"DEB35",15.8169905581744,16.8070422740166,16.9216370204589,10.9690427604488,10.9430396200747
