"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"37932",2018-01-01,2018-12-31,181500,11,1
"37933",2020-11-01,2022-10-31,192733.33,23,2
"37934",2017-03-01,2019-05-31,161940.8,26,3
"37935",2018-12-10,2020-02-09,25000,13,2
"37936",2018-01-01,2018-12-31,18904.56,11,1
"37937",2018-07-01,2019-03-11,166298.28,8,1
"37938",2016-09-26,2017-04-07,19060.01,6,1
"37939",2018-02-13,2018-03-29,5000,1,1
"37940",2016-04-19,2017-01-31,18575.01,9,1
"37941",2015-05-15,2016-05-31,5000.01,12,1
"37942",2017-08-29,2018-01-31,6250.01,5,1
"37943",2017-04-10,2020-10-31,1413021.74,42,4
"37944",2016-08-01,2017-09-30,63801.49,13,2
"37945",2020-08-05,2020-10-22,6115,2,1
"37946",2017-05-15,2020-02-29,831269.15,33,3
"37947",2016-07-20,2017-05-24,6412.51,10,1
"37948",2020-05-14,2021-07-29,52456.26,14,2
"37949",2019-01-01,2019-12-31,3290.98,11,1
"37950",2021-04-19,2021-12-31,150000,8,1
"37951",2019-06-01,2021-12-31,892896.49,30,3
"37952",2016-01-01,2023-12-31,1901006.81,95,8
"37953",2020-01-01,2022-12-31,747718.92,35,3
"37954",2015-07-01,2016-09-30,67095,14,2
"37955",2019-08-16,2020-09-30,12426.46,13,2
"37956",2019-01-12,2022-05-31,380761.25,40,4
"37957",2018-01-17,2018-06-30,6250.01,5,1
"37958",2016-03-29,2017-03-28,40000,11,1
"37959",2016-03-01,2019-12-31,240435.19,45,4
"37960",2019-09-01,2020-04-30,12007.1,7,1
"37961",2018-02-14,2018-06-30,6250.01,4,1
"37962",2018-08-01,2019-12-31,350000,16,2
"37963",2019-01-01,2019-12-31,185900,11,1
"37964",2018-12-31,2020-02-27,14145.38,13,2
"37965",2017-01-10,2017-03-30,14680.03,2,1
"37966",2018-01-02,2019-01-31,6250.01,12,1
"37968",2016-09-19,2017-07-31,5000.01,10,1
"37969",2019-04-15,2021-06-14,205380,25,3
"37970",2015-12-07,2017-09-30,310000,21,2
"37971",2015-04-27,2015-10-31,24718.75,6,1
"37972",2017-09-08,2018-01-31,6250.01,4,1
"37973",2017-10-09,2018-12-08,31520,13,2
"37974",2019-09-09,2022-03-31,1617628.48,30,3
"37975",2016-05-18,2017-10-31,254955.6,17,2
"37976",2019-01-08,2022-01-31,184390,36,3
"37977",2018-01-11,2019-08-31,163206.25,19,2
"37978",2016-09-29,2021-10-31,1607243.84,61,6
"37979",2020-01-01,2022-05-31,399909.75,28,3
"37980",2017-04-18,2019-01-31,5000.01,21,2
"37981",2018-07-17,2019-01-31,5000.01,6,1
"37982",2020-07-07,2021-10-31,43426.88,15,2
"37983",2018-01-26,2018-06-30,6250.01,5,1
"37984",2017-05-12,2018-05-31,6250.01,12,1
"37985",2017-10-16,2018-04-30,6250.01,6,1
"37986",2018-08-01,2021-07-31,39567.5,35,3
"37987",2018-02-27,2018-06-30,6250.01,4,1
"37988",2020-09-01,2021-10-31,317000,13,2
"37989",2016-10-26,2017-05-31,5000.01,7,1
"37990",2019-09-01,2021-12-31,325000,27,3
"37991",2019-12-01,2022-11-30,120537.8,35,3
"37992",2016-12-01,2019-06-30,794771.98,30,3
"37993",2018-11-16,2020-01-31,225000,14,2
"37994",2016-11-23,2020-06-30,450360,43,4
"37995",2017-04-01,2020-06-30,838629.5,38,4
"37996",2018-02-01,2019-02-21,169822.22,12,1
"37997",2019-03-18,2020-03-27,5000,12,1
"37998",2018-01-10,2020-12-31,440490,35,3
"37999",2020-08-07,2020-12-30,5151.88,4,1
"38001",2019-06-19,2019-11-28,67776.03,5,1
"38002",2016-02-23,2016-08-31,6250.01,6,1
"38003",2019-01-01,2021-12-31,28100,35,3
"38004",2016-11-15,2020-05-14,349928.75,41,4
"38005",2019-01-01,2021-12-31,259875,35,3
"38006",2016-08-16,2019-02-15,3102263.95,29,3
"38007",2014-06-19,2015-03-31,6250.01,9,1
"38008",2018-12-01,2022-04-30,240000,40,4
"38009",2016-05-10,2021-09-30,904132,64,6
"38010",2020-05-11,2021-12-31,1e+05,19,2
"38011",2018-03-20,2018-09-30,66367.17,6,1
