DATAFLOW,LAST UPDATE,freq,ipc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE134,2010,0.238,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE134,2011,0.542,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE134,2012,0.327,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE135,2008,1.269,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE135,2009,2.321,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE135,2010,0.556,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE135,2011,0.366,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE135,2012,1.111,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE136,2008,3.273,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE136,2009,1.602,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE136,2010,1.865,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE136,2011,2.021,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE136,2012,0.438,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE137,2008,0.62,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE137,2009,0.386,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE137,2010,0.846,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE137,2011,0.924,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE137,2012,0.635,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE138,2008,2.021,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE138,2009,2.465,
